sample,site,num,AB,S+AF8-XS,date,temp+AF8-c,ms+AF8-cm,do+AF8-percent,do+AF8-ch,ft,ph,wind+AF8-direction,sample+AF8-num,type,section,geology
DLP+AF8-8A,DLP,8,A,NA,July+AF8-10,15.273,3.114,83.367,39.667,33.163,9.160,,DLP+AF8-8,Borehole,SKZ,Granite
GIR+AF8-1A,GIR,1,A,NA,June+AF8-24,18.580,1.951,50.833,42.000,32.826,9.267,N+AF8-S,GIR+AF8-1,Borehole,SAT,Granite
HOY+AF8-2A,HOY,2,A,NA,June+AF8-22,17.593,3.177,14.533,43.433,33.041,8.143,None,HOY+AF8-2,Borehole,KFI,Granite
HOY+AF8-3A,HOY,3,A,NA,June+AF8-29,17.840,3.009,42.533,40.000,32.802,8.250,None,HOY+AF8-3,Borehole,KFI,Granite
IMB+AF8-3A,IMB,3,A,NA,June+AF8-29,16.073,2.425,45.233,40.667,32.835,8.157,None,IMB+AF8-3,Borehole,KFI,Granite
KWA+AF8-6A,KWA,6,A,NA,June+AF8-26,16.497,1.751,111.933,45.100,33.143,9.510,SE+AF8-NW,KWA+AF8-6,Borehole,SKZ,Granite
NGO+AF8-2A,NGO,2,A,NA,June+AF8-24,14.967,0.484,111.233,44.100,33.290,9.437,N+AF8-S,NGO+AF8-2,Pipeline trough,HOU,Basalt
NGO+AF8-3A,NGO,3,A,NA,July+AF8-1,17.257,0.477,108.433,40.000,33.317,9.453,None,NGO+AF8-3,Pipeline trough,HOU,Basalt
NHL+AF8-2A,NHL,2,A,NA,June+AF8-22,17.800,1.993,118.233,50.200,33.057,8.450,None,NHL+AF8-2,Borehole,TSH,Granite
NWA+AF8-4A,NWA,4,A,NA,June+AF8-30,18.913,0.902,124.633,44.433,33.103,9.663,S+AF8-N,NWA+AF8-4,Borehole,SKZ,Granite
NYA+AF8-4A,NYA,4,A,NA,July+AF8-8,18.297,0.553,76.933,37.633,33.255,8.817,N+AF8-S,NYA+AF8-4,Pipeline trough,HOU,Basalt
WIT+AF8-3A,WIT,3,A,NA,July+AF8-1,18.943,0.583,139.733,43.733,33.193,9.107,N+AF8-S,WIT+AF8-3,Pipeline trough,SAT,Basalt
DLP+AF8-8B,DLP,8,B,NA,July+AF8-10,15.273,3.114,83.367,39.667,33.163,9.160,,DLP+AF8-8,Borehole,SKZ,Granite
HOY+AF8-2B,HOY,2,B,NA,June+AF8-22,17.593,3.177,14.533,43.433,33.041,8.143,None,HOY+AF8-2,Borehole,KFI,Granite
HOY+AF8-3B,HOY,3,B,NA,June+AF8-29,17.840,3.009,42.533,40.000,32.802,8.250,None,HOY+AF8-3,Borehole,KFI,Granite
KWA+AF8-5A,KWA,5,A,NA,June+AF8-19,19.200,1.802,154.900,55.300,33.152,9.917,None,KWA+AF8-5,Borehole,SKZ,Granite
KWA+AF8-5B,KWA,5,B,NA,June+AF8-19,19.200,1.802,154.900,55.300,33.152,9.917,None,KWA+AF8-5,Borehole,SKZ,Granite
KWA+AF8-6B,KWA,6,B,NA,June+AF8-26,16.497,1.751,111.933,45.100,33.143,9.510,SE+AF8-NW,KWA+AF8-6,Borehole,SKZ,Granite
NGO+AF8-2B,NGO,2,B,NA,June+AF8-24,14.967,0.484,111.233,44.100,33.290,9.437,N+AF8-S,NGO+AF8-2,Pipeline trough,HOU,Basalt
NGO+AF8-3B,NGO,3,B,NA,July+AF8-1,17.257,0.477,108.433,40.000,33.317,9.453,None,NGO+AF8-3,Pipeline trough,HOU,Basalt
